NAME                                  READY   STATUS    RESTARTS   AGE
bloaty-mcbloatface-58c98b98d8-4dth8   1/1     Running   0          7m39s
bloaty-mcbloatface-58c98b98d8-4v5s4   1/1     Running   0          7m39s
bloaty-mcbloatface-58c98b98d8-5bjzt   1/1     Running   0          7m39s
bloaty-mcbloatface-58c98b98d8-7qcc9   1/1     Running   0          7m39s
bloaty-mcbloatface-58c98b98d8-8x69w   1/1     Running   0          7m40s
bloaty-mcbloatface-58c98b98d8-b6t5f   1/1     Running   0          7m39s
bloaty-mcbloatface-58c98b98d8-fc945   1/1     Running   0          7m39s
bloaty-mcbloatface-58c98b98d8-j6dvw   1/1     Running   0          7m39s
bloaty-mcbloatface-58c98b98d8-jw7dg   1/1     Running   0          7m40s
bloaty-mcbloatface-58c98b98d8-lvz8f   1/1     Running   0          7m39s
bloaty-mcbloatface-58c98b98d8-mw8rb   1/1     Running   0          7m39s
bloaty-mcbloatface-58c98b98d8-p5pkp   1/1     Running   0          7m39s
bloaty-mcbloatface-58c98b98d8-pmqvj   1/1     Running   0          7m39s
bloaty-mcbloatface-58c98b98d8-rrb85   1/1     Running   0          7m39s
bloaty-mcbloatface-58c98b98d8-rx5rb   1/1     Running   0          7m39s
bloaty-mcbloatface-58c98b98d8-wvfkn   1/1     Running   0          7m39s
bloaty-mcbloatface-58c98b98d8-z7vcf   1/1     Running   0          7m39s
canary-v1-64598c676f-tcxwx            1/1     Running   0          72m
canary-v1-64598c676f-z6zvz            1/1     Running   0          72m
canary-v2-5dc9c56687-2bvr9            1/1     Running   0          74m
canary-v2-5dc9c56687-hq8nn            1/1     Running   0          72m
green-5cdd96c9b4-5m5d9                1/1     Running   0          54m
green-5cdd96c9b4-hnf4x                1/1     Running   0          54m
green-5cdd96c9b4-xvznj                1/1     Running   0          54m
hello-world-794458d64d-vq77r          1/1     Running   0          74m
